series,truth,n,bs_chi2,bs_p,n_bs,g0,flag_grid_compatible,max_tv_excess,argmax_modulus,tv4,tv8,tv25,tv49,tv100,tv47,tv43
FABRICATED_lognormal_5grid,grid,3000,11792.332428765265,0.0,2948,5,True,0.76365,25,0.0022333333333333562,-0.000499999999999997,0.76365,-0.0020551020408163256,0.7265333333333334,-0.0025709219858156204,0.005770542635658904
CVAP_county_modeled,grid,3222,12684.014191106908,0.0,3171,5,True,0.7650496585971447,25,0.005446927374301665,0.014901458721291116,0.7650496585971447,0.0039058640215862833,0.7299003724394786,-0.009746820397004627,-0.0006546562152642474
CES_survey_employment,grid,2417,21645.0,0.0,2405,100,True,0.919809681423252,25,0.7381309474555233,0.7300863673976004,0.919809681423252,0.014568574637136601,0.9092594124948283,0.015375575489220847,0.013858232866036123
ACS_margin_of_error,grid,597832,17.998799339636797,0.03518747180610895,39978,1,False,0.031476481687162945,100,0.0004744643980248598,0.0021352152444164877,0.0046095023351041785,0.016735346234734976,0.031476481687162945,0.01918879473148792,0.015148432070983936
binary_aligned_allocations,grid,4000,4004.795,0.0,4000,4,True,0.8600125,8,0.73955,0.8600125,0.008337499999999977,-0.0019558673469387763,0.6873999999999999,-0.0009505319148936167,-0.003993895348837213
constructed_47tick,grid,3160,6.827844799478317,0.6550377666801099,3067,1,True,0.9301962698626444,47,0.0011234177215189937,0.0034018987341772264,-0.0033607594936708868,-0.0013720614828209854,-0.003310126582278472,0.9301962698626444,0.009105460700618191
constructed_43tick,grid,3160,6.677861102054126,0.6706180680196792,3067,1,True,0.9281535178098322,43,-0.0021835443037974828,-0.007547468354430379,0.0012436708860759371,0.004333828468096088,0.0018544303797468215,0.007448491785618114,0.9281535178098322
county_pres_total_2020,nongrid,3152,11.405721716514954,0.24892023381910808,3076,1,False,0.0022652284263959474,25,-0.0008565989847715699,-0.001840101522842641,0.0022652284263959474,0.0004865715321661704,0.0008680203045685203,8.707743816827734e-05,9.148860819265664e-05
county_pres_total_2024,nongrid,3160,5.148389196225187,0.8211856329082104,3073,1,False,0.012357594936708856,8,0.0045094936708860636,0.012357594936708856,-0.005132911392405057,-0.006950400413329887,-0.0006930379746835358,0.011204551575545375,-0.0075625551957609685
nc_precinct_2024,nongrid,15332,13.108585858585858,0.15775411269516665,1584,1,True,0.11616390555700493,8,0.06260109574745629,0.11616390555700493,-0.02335963996869289,0.002081015030588329,0.04135337855465693,-0.006540277322912347,-0.01744823108986221
county_population_census2010,nongrid,3193,15.812539582013933,0.07090095785986619,3158,1,False,0.008269025994362689,100,0.0015854995302223614,0.002059191982461628,-0.003652990917632312,-0.0019625200534332046,0.008269025994362689,-0.0011447914653730656,-0.00313949846684973
additive_sums_synthetic,nongrid,3000,2.4533333333333336,0.9821122683285403,3000,1,False,0.004254964539007096,47,-0.002450000000000013,-0.004733333333333353,-0.000899999999999998,-0.005814965986394548,-0.001999999999999988,0.004254964539007096,-0.009145348837209306
uniform_null,nongrid,4000,8.094999999999999,0.5246016271871639,4000,1,False,0.013548936170212765,47,0.009450000000000009,0.007712500000000001,0.004225,0.004729081632653072,0.0024999999999999953,0.013548936170212765,-0.0012261627906976769
