product_rung,vs,auc_keff,auc_shape
prod2,single,0.8556,0.8521
prod2,sum2,0.8558,0.8539
prod2,sum3,0.8555,0.8537
prod2,count,0.8558,0.8543
prod3,single,0.9489,0.9494
prod3,sum2,0.9488,0.9499
prod3,sum3,0.9487,0.9499
prod3,count,0.9489,0.9499
prod4,single,0.9555,0.9568
prod4,sum2,0.9554,0.9572
prod4,sum3,0.9553,0.9571
prod4,count,0.9555,0.9573
prod5,single,0.9445,0.9454
prod5,sum2,0.9444,0.9458
prod5,sum3,0.9443,0.9457
prod5,count,0.9445,0.9459
prod6,single,0.9252,0.9253
prod6,sum2,0.9251,0.926
prod6,sum3,0.925,0.9259
prod6,count,0.9252,0.9262
