source,cls,n,c2_share,c5_share,frac_div8,frac_div25,c2_null,c5_null,c2_excess,c5_excess,div8_excess,div25_excess
file_sizes_bytes,binary,102426,0.05908,0.03447,0.11903,0.03818,0.06095,0.03529,-0.00187,-0.00081,-0.00574,-0.00167
disk_alloc_blocks512,binary,52051,0.78191,0.0272,1.0,0.0312,0.05987,0.03464,0.72204,-0.00744,0.87533,-0.00865
archive_member_sizes,binary,200000,0.05485,0.02962,0.08691,0.025,0.09027,0.05202,-0.03542,-0.0224,-0.03792,-0.01482
telemetry_n_bytes,telemetry,750000,0.04058,0.02358,0.12471,0.04001,0.03977,0.02312,0.0008,0.00046,-0.00044,-0.00026
decimal:archive__real-estate-sales-2001-2023-gl-csv_,decimal,30000,0.22993,0.53735,0.9785,0.9997,0.03982,0.02314,0.19012,0.51421,0.85354,0.95949
decimal:cp-discovery__cook-sale-price-parquet__marke,decimal,30000,0.22949,0.53834,0.9786,1.0,0.0394,0.02288,0.19009,0.51546,0.85354,0.9598
decimal:waterfall-msa-deployed__real-estate-normaliz,decimal,30000,0.22899,0.53536,0.97813,0.9998,0.03966,0.02304,0.18933,0.51233,0.85313,0.95959
decimal:cbad-audit__fy2022-all-assistance-full-20260,decimal,30000,0.22006,0.36204,0.57797,0.99663,0.06734,0.03907,0.15272,0.32297,0.45296,0.95673
decimal:cp-discovery__ct-assess-av-parquet__assessed,decimal,30000,0.17811,0.34158,0.99083,1.0,0.0409,0.02384,0.13721,0.31774,0.86621,0.95974
decimal:cp-discovery__williamson-asmt-2025-csv__asse,decimal,30000,0.13008,0.2306,0.53603,1.0,0.04056,0.02356,0.08952,0.20704,0.41102,0.95981
loguniform_control,control,200000,0.06439,0.03762,0.12353,0.04026,0.06181,0.03584,0.00258,0.00178,-0.00133,0.00021
