graph,n_nodes,n_edges,quotient_nodes,aut_order_log10,d,L1,Tail,H2,keff,omega,maxexp,bliss_log10,trivial
ca-GrQc,5242,14484,3537,1096.93954,1097,0.42399,0.37463,0.23374,2.14025,40,1545,1096.93954,False
ca-HepTh,9877,25973,7738,1319.71632,1320,0.4505,0.38102,0.24095,2.07603,56,1975,1319.71632,False
ca-HepPh,12008,118489,8899,1988.26887,1989,0.41727,0.3682,0.24022,2.08205,37,2756,1988.26887,False
ca-AstroPh,18772,198050,14784,2183.21654,2184,0.47267,0.28519,0.29678,1.68518,34,3428,2183.21654,False
ca-CondMat,23133,93439,17318,2951.65069,2952,0.5134,0.25819,0.32265,1.54997,61,5034,2951.65069,False
email-Enron,36692,183831,20725,17264.73748,17265,0.25436,0.58375,0.11251,4.44403,195,14588,,False
facebook_combined,4039,88234,3865,86.7752,87,0.50995,0.24262,0.34059,1.47737,6,147,86.7752,False
p2p-Gnutella08,6301,20777,5619,313.35728,314,0.5591,0.1851,0.38697,1.29438,11,582,313.35728,False
p2p-Gnutella09,8114,26013,7126,442.83172,443,0.56218,0.16631,0.39639,1.26296,12,827,442.83172,False
wiki-Vote,7115,100762,5793,730.1601,731,0.45598,0.27284,0.30197,1.65705,11,1106,730.1601,False
email-Eu-core,1005,16064,963,25.66739,26,0.41048,0.32928,0.25554,1.9983,8,35,25.66739,False
as20000102,6474,12572,3538,2842.52781,2843,0.27746,0.52984,0.14415,3.4692,56,2620,2842.52781,False
oregon1_010331,10670,22002,5526,5486.16203,5487,0.25575,0.56553,0.12536,3.98903,77,4661,,False
p2p-Gnutella04,10876,39994,10146,293.10246,294,0.65115,0.11933,0.48144,1.04052,9,634,293.10246,False
