level,coords,grid_mass_shift,auc,auc_lo,auc_hi,n_channels
null,S0_raw,-0.0007265111118131412,0.5307061728395062,0.48467795421377285,0.5742297066684583,450
null,S1_digit,-0.0007265111118131412,0.4711802469135802,0.43410119047619045,0.5186184712832829,450
grid10_w10,S0_raw,0.020385816035379353,0.6721382716049382,0.636745877719825,0.7263385227511612,450
grid10_w10,S1_digit,0.020385816035379353,0.8126123456790122,0.7778428115615614,0.8469259042948922,450
grid10_w30,S0_raw,0.06632067440386068,0.9906469135802468,0.9836764141995996,0.9954092602582802,450
grid10_w30,S1_digit,0.06632067440386068,0.9967703703703703,0.9945278456111789,0.9988118424564916,450
grid10_full,S0_raw,0.1797573261961284,1.0,1.0,1.0,450
grid10_full,S1_digit,0.1797573261961284,1.0,1.0,1.0,450
grid100_full,S0_raw,0.39868001556446014,1.0,1.0,1.0,450
grid100_full,S1_digit,0.39868001556446014,1.0,1.0,1.0,450
tick7_w50,S0_raw,-0.0007702115557845224,0.9988345679012345,0.9971788127383536,1.0,450
tick7_w50,S1_digit,-0.0007702115557845224,0.9984296296296296,0.996224908052652,1.0,450
